Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,Processor_Graphics_,Graphics_Base_Frequency,Graphics_Max_Dynamic_Frequency,Graphics_Video_Max_Memory,Graphics_Output,Support_4k,Max_Resolution_HDMI,Max_Resolution_DP,Max_Resolution_eDP_Integrated_Flat_Panel,DirectX_Support,OpenGL_Support,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit
Intel® Xeon® Processor E7 v3 Family,Server,E7-8890V3,Launched,Q2'15,22 nm,"$7,174.00 ",18,36,2.50 GHz,3.30 GHz,45 MB Last Level Cache,9.6 GT/s QPI,165 W,No,Yes,1.54 TB,"DDR4-1333/1600/1866   
DDR3-1066/1333/1600",4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,79°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v3 Family,Server,E7-8891V3,Launched,Q2'15,22 nm,"$6,841.00 ",10,20,2.80 GHz,3.50 GHz,45 MB Last Level Cache,9.6 GT/s QPI,165 W,No,Yes,1.54 TB,"DDR4-1333/1600/1866   
DDR3-1066/1333/1600",4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,79°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v3 Family,Server,E7-8893V3,Launched,Q2'15,22 nm,"$6,841.00 ",4,8,3.20 GHz,3.50 GHz,45 MB Last Level Cache,9.6 GT/s QPI,140 W,No,Yes,1.54 TB,"DDR4-1333/1600/1866   
DDR3-1066/1333/1600",4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,75°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-2870V2,Launched,Q1'14,22 nm,"$4,227.00 ",15,30,2.30 GHz,2.90 GHz,30 MB,8 GT/s QPI,130 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,73°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-2880V2,Launched,Q1'14,22 nm,"$5,339.00 ",15,30,2.50 GHz,3.10 GHz,37.5 MB,8 GT/s QPI,130 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,73°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-2890V2,Launched,Q1'14,22 nm,"$6,451.00 ",15,30,2.80 GHz,3.40 GHz,37.5 MB,8 GT/s QPI,155 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,77°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-4809V2,Launched,Q1'14,22 nm,"$1,223.00 ",6,12,1.90 GHz,,12 MB,6.4 GT/s QPI,105 W,No,Yes,1.54 TB,DDR3 1066/1333,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,68°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-4820V2,Launched,Q1'14,22 nm,"$1,446.00 ",8,16,2.00 GHz,2.50 GHz,16 MB,7.2 GT/s QPI,105 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,68°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-4830V2,Launched,Q1'14,22 nm,"$2,059.00 ",10,20,2.20 GHz,2.70 GHz,20 MB,7.2 GT/s QPI,105 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,68°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-4850V2,Launched,Q1'14,22 nm,"$2,837.00 ",12,24,2.30 GHz,2.80 GHz,24 MB,7.2 GT/s QPI,105 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,68°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-4860V2,Launched,Q1'14,22 nm,"$3,838.00 ",12,24,2.60 GHz,3.20 GHz,30 MB,8 GT/s QPI,130 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,73°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-4870V2,Launched,Q1'14,22 nm,"$4,394.00 ",15,30,2.30 GHz,2.90 GHz,30 MB,8 GT/s QPI,130 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,73°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-4880V2,Launched,Q1'14,22 nm,"$5,506.00 ",15,30,2.50 GHz,3.10 GHz,37.5 MB,8 GT/s QPI,130 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,73°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-4890V2,Launched,Q1'14,22 nm,"$6,619.00 ",15,30,2.80 GHz,3.40 GHz,37.5 MB,8 GT/s QPI,155 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,77°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-8893V2,Launched,Q1'14,22 nm,"$6,841.00 ",6,12,3.40 GHz,3.70 GHz,37.5 MB,8 GT/s QPI,155 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,77°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-8891V2,Launched,Q1'14,22 nm,"$6,841.00 ",10,20,3.20 GHz,3.70 GHz,37.5 MB,8 GT/s QPI,155 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,77°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-8890V2,Launched,Q1'14,22 nm,"$6,841.00 ",15,30,2.80 GHz,3.40 GHz,37.5 MB,8 GT/s QPI,155 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,77°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-8880LV2,Launched,Q1'14,22 nm,"$5,729.00 ",15,30,2.20 GHz,2.80 GHz,37.5 MB,8 GT/s QPI,105 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,68°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-8880V2,Launched,Q1'14,22 nm,"$5,729.00 ",15,30,2.50 GHz,3.10 GHz,37.5 MB,8 GT/s QPI,130 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,73°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-8870V2,Launched,Q1'14,22 nm,"$4,616.00 ",15,30,2.30 GHz,2.90 GHz,30 MB,8 GT/s QPI,130 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,73°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-8857V2,Launched,Q1'14,22 nm,"$3,838.00 ",12,12,3.00 GHz,3.60 GHz,30 MB,8 GT/s QPI,130 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,85 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,73°C,No,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 v2 Family,Server,E7-8850V2,Launched,Q1'14,22 nm,"$3,059.00 ",12,24,2.30 GHz,2.80 GHz,24 MB,7.2 GT/s QPI,105 W,No,Yes,1.54 TB,DDR3 1066/1333/1600,4,68 GB/s,Yes,,,,,,,,,,,,3,"x4, x8, x16",32,68°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,Yes,Yes
Intel® Xeon® Processor E7 Family,Server,E7-2820,End of Life,Q2'11,32 nm,"$1,334.00 ",8,16,2.00 GHz,2.27 GHz,18 MB SmartCache,5.86 GT/s QPI,105 W,No,,1.02 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,64°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-2830,End of Life,Q2'11,32 nm,"$1,779.00 ",8,16,2.13 GHz,2.40 GHz,24 MB SmartCache,6.4 GT/s QPI,105 W,No,,1.02 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,64°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-2850,End of Life,Q2'11,32 nm,"$2,558.00 ",10,20,2.00 GHz,2.40 GHz,24 MB SmartCache,6.4 GT/s QPI,130 W,No,,1.02 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,69°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-2860,End of Life,Q2'11,32 nm,"$3,670.00 ",10,20,2.26 GHz,2.67 GHz,24 MB SmartCache,6.4 GT/s QPI,130 W,No,,1.02 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,69°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-2870,End of Life,Q2'11,32 nm,"$4,227.00 ",10,20,2.40 GHz,2.80 GHz,30 MB SmartCache,6.4 GT/s QPI,130 W,No,,1.02 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,69°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-4807,End of Life,Q2'11,32 nm,$890.00 ,6,12,1.86 GHz,,18 MB SmartCache,4.8 GT/s QPI,95 W,No,,2.05 TB,DDR3 800/978/1066/1333 (Max Speed 800 MHz),4,,Yes,,,,,,,,,,,,,,,70°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-4820,End of Life,Q2'11,32 nm,"$1,446.00 ",8,16,2.00 GHz,2.27 GHz,18 MB SmartCache,5.86 GT/s QPI,105 W,No,,2.05 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,64°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-4830,End of Life,Q2'11,32 nm,"$2,059.00 ",8,16,2.13 GHz,2.40 GHz,24 MB SmartCache,6.4 GT/s QPI,105 W,No,,2.05 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,64°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-4850,End of Life,Q2'11,32 nm,"$2,837.00 ",10,20,2.00 GHz,2.40 GHz,24 MB SmartCache,6.4 GT/s QPI,130 W,No,,2.05 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,69°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-4860,End of Life,Q2'11,32 nm,"$3,838.00 ",10,20,2.26 GHz,2.67 GHz,24 MB SmartCache,6.4 GT/s QPI,130 W,No,,2.05 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,69°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-4870,End of Life,Q2'11,32 nm,"$4,394.00 ",10,20,2.40 GHz,2.80 GHz,30 MB SmartCache,6.4 GT/s QPI,130 W,No,,2.05 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,69°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-8830,End of Life,Q2'11,32 nm,"$2,280.00 ",8,16,2.13 GHz,2.40 GHz,24 MB SmartCache,6.4 GT/s QPI,105 W,No,,4.1 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,64°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-8837,End of Life,Q2'11,32 nm,"$2,280.00 ",8,8,2.66 GHz,2.80 GHz,24 MB SmartCache,6.4 GT/s QPI,130 W,No,,4.1 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,69°C,No,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-8850,End of Life,Q2'11,32 nm,"$3,059.00 ",10,20,2.00 GHz,2.40 GHz,24 MB SmartCache,6.4 GT/s QPI,130 W,No,,4.1 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,69°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-8860,End of Life,Q2'11,32 nm,"$4,061.00 ",10,20,2.26 GHz,2.67 GHz,24 MB SmartCache,6.4 GT/s QPI,130 W,No,,4.1 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,69°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-8867L,End of Life,Q2'11,32 nm,"$4,172.00 ",10,20,2.13 GHz,2.53 GHz,30 MB SmartCache,6.4 GT/s QPI,105 W,No,,4.1 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,64°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
Intel® Xeon® Processor E7 Family,Server,E7-8870,End of Life,Q2'11,32 nm,"$4,616.00 ",10,20,2.40 GHz,2.80 GHz,30 MB SmartCache,6.4 GT/s QPI,130 W,No,,4.1 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,69°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes
5th Generation Intel® Core™ i7 Processors,Mobile,i7-5600U,Launched,Q1'15,14 nm,$393.00 ,2,4,2.60 GHz,3.20 GHz,4 MB,5 GT/s DMI2,15 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,,,300 MHz,950 MHz,16 GB,eDP/DP/HDMI,,2560x1600@60Hz,3840x2160@60Hz,,11.2/12,,2,"4x1, 2x4",12,105°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
5th Generation Intel® Core™ i7 Processors,Mobile,i7-5650U,Launched,Q1'15,14 nm,$426.00 ,2,4,2.20 GHz,3.10 GHz,4 MB,5 GT/s DMI2,15 W,Yes,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1600/1866",2,25.6 GB/s,,,300 MHz,1.00 GHz,16 GB,eDP/DP/HDMI,,2560x1600@60Hz,3840x2160@60Hz,,11.2/12,,2,"4x1, 2x4",12,105°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
5th Generation Intel® Core™ i7 Processors,Desktop,i7-5775C,Launched,Q2'15,14 nm,$366.00 - $377.00,4,8,3.30 GHz,3.70 GHz,6 MB,5 GT/s DMI2,65 W,No,Yes,32 GB,DDR3L-1333/1600 @ 1.5V,2,25.6 GB/s,No,,300 MHz,1.15 GHz,32 GB,eDP/DP/HDMI/DVI/VGA ,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.2,,3,"Up to 1x16, 2x8, 1x8+2x4",16,,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
5th Generation Intel® Core™ i7 Processors,Desktop,i7-5775R,Launched,Q2'15,14 nm,$348.00 ,4,8,3.30 GHz,3.80 GHz,6 MB,5 GT/s DMI2,65 W,No,Yes,32 GB,DDR3L-1333/1600/1866 @ 1.5V,2,29.86 GB/s,No,,300 MHz,1.15 GHz,32 GB,eDP/DP/HDMI/DVI/VGA ,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.2,,3,"Up to 1x16, 2x8, 1x8+2x4",16,,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
5th Generation Intel® Core™ i7 Processors,Mobile,i7-5700HQ,Launched,Q2'15,14 nm,$378.00 ,4,8,2.70 GHz,3.50 GHz,6 MB,5 GT/s DMI2,47 W,No,Yes,32 GB,DDR3L 1600/1866 LPDDR3 1600/1866,2,25.6 GB/s,No,,300 MHz,1.05 GHz,32 GB,eDP/DP/HDMI/VGA,,2560x1600@60Hz,4096x2304@60Hz,,11.2/12,,3,1x16 or 2x8 or 1x8 2x4,16,105°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2 AVX 2.0,Yes,Yes,Yes,Yes
5th Generation Intel® Core™ i7 Processors,Embedded,i7-5700EQ,Launched,Q2'15,14 nm,$378.00 ,4,8,2.60 GHz,3.40 GHz,6 MB SmartCache,5 GT/s DMI,47 W,Yes,Yes,32 GB,DDR3L 1600,2,25.6 GB/s,Yes,,300 MHz,1.00 GHz,32 GB,eDP/DP/HDMI/VGA,,2560x1600@60Hz,4096x2304@60Hz,,11.2,,3,Up to 1x16 2x8 1x8 2x4,16,105°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2 AVX 2.0,Yes,Yes,Yes,Yes
5th Generation Intel® Core™ i7 Processors,Mobile,i7-5750HQ,Launched,Q2'15,14 nm,$434.00 ,4,8,2.50 GHz,3.40 GHz,6 MB,5 GT/s DMI2,47 W,No,Yes,32 GB,DDR3L 1600/1866 LPDDR3 1600/1866,2,25.6 GB/s,No,,300 MHz,1.05 GHz,32 GB,eDP/DP/HDMI/VGA,,2560x1600@60Hz,4096x2304@60Hz,,11.2/12,,3,1x16 or 2x8 or 1x8 2x4,16,105°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2 AVX 2.0,Yes,Yes,Yes,Yes
5th Generation Intel® Core™ i7 Processors,Embedded,i7-5850EQ,Launched,Q2'15,14 nm,$435.00 ,4,8,2.70 GHz,3.40 GHz,6 MB SmartCache,5 GT/s DMI,47 W,Yes,Yes,32 GB,DDR3L 1600,2,25.6 GB/s,Yes,,300 MHz,1.00 GHz,32 GB,eDP/DP/HDMI/VGA,,2560x1600@60Hz,4096x2304@60Hz,,11.2,,3,Up to 1x16 2x8 1x8 2x4,16,105°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2 AVX 2.0,Yes,Yes,Yes,Yes
5th Generation Intel® Core™ i7 Processors,Mobile,i7-5850HQ,Launched,Q2'15,14 nm,$434.00 ,4,8,2.70 GHz,3.60 GHz,6 MB,5 GT/s DMI2,47 W,No,Yes,32 GB,DDR3L 1600/1866 LPDDR3 1600/1866,2,25.6 GB/s,No,,300 MHz,1.10 GHz,32 GB,eDP/DP/HDMI/VGA,,2560x1600@60Hz,4096x2304@60Hz,,11.2/12,,3,1x16 or 2x8 or 1x8 2x4,16,105°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2 AVX 2.0,Yes,Yes,Yes,Yes
5th Generation Intel® Core™ i7 Processors,Mobile,i7-5950HQ,Launched,Q2'15,14 nm,$623.00 ,4,8,2.90 GHz,3.80 GHz,6 MB,5 GT/s DMI2,47 W,No,Yes,32 GB,DDR3L 1600/1866 LPDDR3 1600/1866,2,25.6 GB/s,No,,300 MHz,1.15 GHz,32 GB,eDP/DP/HDMI/VGA,,2560x1600@60Hz,4096x2304@60Hz,,11.2/12,,3,1x16 or 2x8 or 1x8 2x4,16,105°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2 AVX 2.0,Yes,Yes,Yes,Yes
5th Generation Intel® Core™ i7 Processors,Mobile,i7-5500U,Launched,Q1'15,14 nm,$393.00 ,2,4,2.40 GHz,3.00 GHz,4 MB,5 GT/s DMI2,15 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,,,300 MHz,950 MHz,16 GB,eDP/DP/HDMI,,2560x1600@60Hz,3840x2160@60Hz,,11.2/12,,2,"4x1, 2x4",12,105°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
6th Generation Intel® Core™ m Processors,Mobile,M3-6Y30,Launched,Q3'15,14 nm,$281.00 ,2,4,900 MHz,2.20 GHz,4 MB SmartCache,4 GT/s OPI,4.5 W,No,Yes,16 GB,"LPDDR3-1866, DDR3L-1600",2,29.8 GB/s,No,,300 MHz,850 MHz,16 GB,eDP/DP/HDMI/DVI,,4096@2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
6th Generation Intel® Core™ i3 Processors,Desktop,i3-6098P,Launched,Q4'15,14 nm,$117.00 ,2,4,3.60 GHz,,3 MB,8 GT/s DMI3,54 W,No,Yes,64 GB,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1 GB/s,Yes,,350 MHz,1.05 GHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,66°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
6th Generation Intel® Core™ i5 Processors,Mobile,i5-6287U,Launched,Q3'15,14 nm,$304.00 ,2,4,3.10 GHz,3.50 GHz,4 MB SmartCache,4 GT/s OPI,28 W,No,Yes,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1 GB/s,No,,300 MHz,1.10 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
6th Generation Intel® Core™ i5 Processors,Mobile,i5-6267U,Launched,Q3'15,14 nm,$304.00 ,2,4,2.90 GHz,3.30 GHz,4 MB SmartCache,4 GT/s OPI,28 W,No,Yes,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1 GB/s,No,,300 MHz,1.05 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
7th Generation Intel® Core™ m Processors,Mobile,M3-7Y30,Launched,Q3'16,14 nm,$281.00 ,2,4,1.00 GHz,2.60 GHz,4 MB SmartCache,4 GT/s OPI,4.5 W,No,Yes,16 GB,"LPDDR3-1866, DDR3L-1600",2,29.8 GB/s,No,,300 MHz,900 MHz,16 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
7th Generation Intel® Core™ i3 Processors,Mobile,i3-7100H,Launched,Q1'17,14 nm,$225.00 ,2,4,3.00 GHz,,3 MB,8 GT/s DMI3,35 W,No,Yes,64 GB,,2,34.1 GB/s,No,,350 MHz,950 MHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@30Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
7th Generation Intel® Core™ i3 Processors,Mobile,i3-7100U,Launched,Q3'16,14 nm,$281.00 ,2,4,2.40 GHz,,3 MB SmartCache,4 GT/s OPI,15 W,Yes,Yes,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1 GB/s,No,,300 MHz,1.00 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
7th Generation Intel® Core™ i3 Processors,Mobile,i3-7167U,Launched,Q1'17,14 nm,N/A,2,4,2.80 GHz,,3 MB,4 GT/s OPI,28 W,No,Yes,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1 GB/s,No,,300 MHz,1.00 GHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@30Hz ,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes
